م,كود المقرر,اسم المقرر,القائم بالتدريس,عدد المسجلين,حرمان قبل الامتحان,Col_6,المنسحب,Col_8,من لهم حق دخول الامتحان,Col_10,عدد الحضور,Col_12,الغياب,Col_14,غياب بعذر,Col_16,الحرمان,Col_18,غير مكتمل,Col_20,نجاح,Col_22,رسوب,Col_24,أ+,Col_26,أ,Col_28,أ-,Col_30,ب+,Col_32,ب,Col_34,ب-,Col_36,ج+,Col_38,ج,Col_40,ج-,Col_42,د+,Col_44,د,Col_46,ر,Col_48
1,BES 141, Statics,,43,-,-,-,-,43,1,39,0.907,4,0.093,3,0.0769,-,-,1,0.0256,31,0.7949,7,0.1795,5,0.1282,4,0.1026,2,0.0513,3,0.0769,2,0.0513,2,0.0513,2,0.0513,0,-%,4,0.1026,2,0.0513,5,0.1282,1,0.0256
2,MEC 403, Robotics,,5,-,-,-,-,5,1,5,1,-,-,-,-,-,-,-,-,5,1,-,-,1,0.2,4,0.8,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%
3,BES 111, Mathematics 1,الاستاذ الدكتور رزق مسعود رزق الله عبد,47,-,-,2,0.0426,45,0.9574,41,0.9111,4,0.0889,2,0.0488,-,-,1,0.0244,33,0.8049,7,0.1707,5,0.122,2,0.0488,4,0.0976,4,0.0976,0,-%,7,0.1707,3,0.0732,1,0.0244,3,0.0732,1,0.0244,3,0.0732,0,-%
4,BES 122, Physics 2,,19,-,-,-,-,19,1,19,1,-,-,-,-,-,-,-,-,17,0.8947,1,0.0526,0,-%,1,0.0526,2,0.1053,4,0.2105,2,0.1053,3,0.1579,1,0.0526,1,0.0526,0,-%,1,0.0526,2,0.1053,0,-%
5,MEC 307, Mechatronic Design(2),الاستاذ الدكتور صبحى محمد حسن غنيم,29,-,-,-,-,29,1,29,1,-,-,-,-,-,-,-,-,29,1,-,-,3,0.1034,3,0.1034,4,0.1379,7,0.2414,4,0.1379,1,0.0345,1,0.0345,1,0.0345,2,0.069,1,0.0345,2,0.069,0,-%
6,BES 299, Probability and Statistics,الاستاذ الدكتور احمد احمد الصاوي حجازي,43,-,-,-,-,43,1,40,0.9302,3,0.0698,2,0.05,1,0.025,-,-,37,0.925,2,0.05,7,0.175,7,0.175,6,0.15,8,0.2,4,0.1,1,0.025,2,0.05,0,-%,1,0.025,0,-%,1,0.025,1,0.025
7,GEN 112, Societal Issues,الاستاذ الدكتور رجائى عبدالفتاح عبدالفتاح صالح,12,-,-,-,-,12,1,12,1,-,-,-,-,-,-,-,-,12,1,-,-,0,-%,3,0.25,4,0.3333,3,0.25,0,-%,1,0.0833,0,-%,0,-%,0,-%,1,0.0833,0,-%,0,-%
8,ELE 231, Electronics,الاستاذ الدكتور عوض السبع عوض السيد السبع,18,-,-,-,-,18,1,17,0.9444,1,0.0556,-,-,-,-,-,-,15,0.8824,2,0.1176,0,-%,0,-%,0,-%,1,0.0588,1,0.0588,2,0.1176,1,0.0588,1,0.0588,1,0.0588,2,0.1176,6,0.3529,1,0.0588
9,MEC 408, PC-Based Control,الاستاذ الدكتور بلال أحمد محمد أبو ظلام,5,-,-,-,-,5,1,5,1,-,-,-,-,-,-,-,-,5,1,-,-,1,0.2,4,0.8,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%
10,BES 282, Modern Physics,الدكتور ابراهيم حسن عفيفى حسين,16,-,-,-,-,16,1,16,1,-,-,-,-,-,-,1,0.0625,9,0.5625,6,0.375,0,-%,1,0.0625,0,-%,1,0.0625,0,-%,2,0.125,0,-%,0,-%,1,0.0625,1,0.0625,3,0.1875,4,0.25
