Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,إحصائية تقديرات 2025-2026 فصل دارسي  الأول,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,برنامج الميكاترونيات لائحة حديثة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
م,كود المقرر,اسم المقرر,القائم بالتدريس,عدد المسجلين,حرمان قبل الامتحان,,المنسحب,,من لهم حق دخول الامتحان,,عدد الحضور,,الغياب,,غياب بعذر,,الحرمان,,غير مكتمل,,نجاح,,رسوب,,أ+,,أ,,أ-,,ب+,,ب,,ب-,,ج+,,ج,,ج-,,د+,,د,,ر,
,,,,,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة,عدد,نسبة
1,BES 141, Statics,,43,-,-,-,-,43,1,39,0.907,4,0.093,3,0.0769,-,-,1,0.0256,31,0.7949,7,0.1795,5,0.1282,4,0.1026,2,0.0513,3,0.0769,2,0.0513,2,0.0513,2,0.0513,0,-%,4,0.1026,2,0.0513,5,0.1282,1,0.0256
2,MEC 403, Robotics,,5,-,-,-,-,5,1,5,1,-,-,-,-,-,-,-,-,5,1,-,-,1,0.2,4,0.8,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%,0,-%
3,BES 111, Mathematics 1,الاستاذ الدكتور رزق مسعود رزق الله عبد,47,-,-,2,0.0426,45,0.9574,41,0.9111,4,0.0889,2,0.0488,-,-,1,0.0244,33,0.8049,7,0.1707,5,0.122,2,0.0488,4,0.0976,4,0.0976,0,-%,7,0.1707,3,0.0732,1,0.0244,3,0.0732,1,0.0244,3,0.0732,0,-%
4,BES 122, Physics 2,,19,-,-,-,-,19,1,19,1,-,-,-,-,-,-,-,-,17,0.8947,1,0.0526,0,-%,1,0.0526,2,0.1053,4,0.2105,2,0.1053,3,0.1579,1,0.0526,1,0.0526,0,-%,1,0.0526,2,0.1053,0,-%
5,MEC 307, Mechatronic Design(2),الاستاذ الدكتور صبحى محمد حسن غنيم,29,-,-,-,-,29,1,29,1,-,-,-,-,-,-,-,-,29,1,-,-,3,0.1034,3,0.1034,4,0.1379,7,0.2414,4,0.1379,1,0.0345,1,0.0345,1,0.0345,2,0.069,1,0.0345,2,0.069,0,-%
